,Number of Threads,Number of Files,File Size,Total File Size,Block Size,Fsync Periodicty,I/O Mode (sync/async),Access Mode (seq/rnd),Read/Write,File Operations (reads/s),File Operations (writes/s),File Operations (fsyncs/s),Read Throughput (MiB/s),Write Throughput (MiB/s),Total Time (s),Total Number of Events,Min Latency (ms),Avg Latency (ms),Max Latency (ms),95th Percentile Latency (ms),Total Execution Time across Threads (s),Avg Number of Events per Thread,Avg Execution Time per Thread (s)
25,16,6.4GiB,6.4GiB,128GiB,16KiB,100,synchronous,Sequential,Read,193958.28,0.0,0.0,3030.59,0.0,30.0011,5819596.0,0.0,0.07,790.12,0.07,423076.53,363724.75,26.4423
26,24,6.4GiB,6.4GiB,128GiB,16KiB,100,synchronous,Random,Read,2510.5,0.0,0.0,39.23,0.0,30.1047,75586.0,0.0,9.54,1456.78,63.32,721082.3,3149.4167,30.0451
27,30,6.4GiB,6.4GiB,128GiB,16KiB,100,synchronous,Random,Write,0.0,126.71,44.58,0.0,1.98,30.9497,4702.0,0.01,194.54,3961.13,846.57,914745.85,156.7333,30.4915
28,27,6.4GiB,6.4GiB,128GiB,16KiB,100,synchronous,Sequential,Read,154560.9,0.0,0.0,2415.01,0.0,30.0099,4638869.0,0.0,0.16,831.99,0.22,735315.16,171809.963,27.2339
29,28,6.4GiB,6.4GiB,128GiB,16KiB,100,synchronous,Random,Write,0.0,124.22,42.14,0.0,1.94,31.3925,4663.0,0.01,183.55,4205.73,580.02,855872.8,166.5357,30.5669
30,14,6.4GiB,6.4GiB,128GiB,16KiB,100,synchronous,Sequential,Write,0.0,2852.37,579.22,0.0,44.57,30.077,102943.0,0.01,4.08,663.24,29.19,420316.07,7353.0714,30.0226
31,6,6.4GiB,6.4GiB,128GiB,16KiB,100,synchronous,Sequential,Write,0.0,2658.15,535.62,0.0,41.53,30.055,95880.0,0.01,1.88,259.46,3.96,180002.35,15980.0,30.0004
32,29,6.4GiB,6.4GiB,128GiB,16KiB,100,synchronous,Sequential,Read,170805.76,0.0,0.0,2668.84,0.0,30.0004,5124505.0,0.0,0.15,1036.95,0.13,792462.86,176707.069,27.3263
33,7,6.4GiB,6.4GiB,128GiB,16KiB,100,synchronous,Sequential,Write,0.0,2954.79,595.58,0.0,46.17,30.0496,106559.0,0.01,1.97,189.99,12.3,210039.68,15222.7143,30.0057
34,15,6.4GiB,6.4GiB,128GiB,16KiB,100,synchronous,Sequential,Write,0.0,2932.89,596.57,0.0,45.83,30.0353,105720.0,0.01,4.26,430.36,28.67,450042.39,7048.0,30.0028
35,31,6.4GiB,6.4GiB,128GiB,16KiB,100,synchronous,Sequential,Read,148415.12,0.0,0.0,2318.98,0.0,30.0121,4454753.0,0.0,0.19,593.84,0.17,837717.61,143701.7097,27.0231
36,25,6.4GiB,6.4GiB,128GiB,16KiB,100,synchronous,Random,Write,0.0,118.77,39.64,0.0,1.86,30.7715,4375.0,0.01,172.38,3577.27,719.92,754182.65,175.0,30.1673
37,18,6.4GiB,6.4GiB,128GiB,16KiB,100,synchronous,Sequential,Write,0.0,2827.97,577.44,0.0,44.19,30.0536,101996.0,0.01,5.3,751.09,31.94,540269.32,5666.4444,30.015
