,Number of Threads,Number of Files,File Size,Total File Size,Block Size,Fsync Periodicty,I/O Mode (sync/async),Access Mode (seq/rnd),Read/Write,File Operations (reads/s),File Operations (writes/s),File Operations (fsyncs/s),Read Throughput (MiB/s),Write Throughput (MiB/s),Total Time (s),Total Number of Events,Min Latency (ms),Avg Latency (ms),Max Latency (ms),95th Percentile Latency (ms),Total Execution Time across Threads (s),Avg Number of Events per Thread,Avg Execution Time per Thread (s)
114,29,20,102.4MiB,2GiB,16KiB,100,synchronous,Sequential,Write,0.0,9659.03,1950.55,0.0,150.91,30.1462,349425.0,0.0,2.5,692.43,0.26,873794.46,12049.1379,30.1308
115,27,20,102.4MiB,2GiB,16KiB,100,synchronous,Random,Read,42547.42,0.0,0.0,664.77,0.0,30.009,1276878.0,0.0,0.63,31.26,1.64,808461.64,47291.7778,29.943
116,26,20,102.4MiB,2GiB,16KiB,100,synchronous,Sequential,Write,0.0,10056.81,2028.15,0.0,157.13,30.0847,363074.0,0.0,2.15,681.62,0.24,780530.13,13964.3846,30.0204
117,14,20,102.4MiB,2GiB,16KiB,100,synchronous,Random,Write,0.0,11915.95,2392.25,0.0,186.18,30.012,429161.0,0.0,0.98,109.74,4.41,419142.9,30654.3571,29.9388
118,22,20,102.4MiB,2GiB,16KiB,100,synchronous,Sequential,Write,0.0,11460.22,2306.45,0.0,179.06,30.0522,413316.0,0.0,1.6,573.9,0.21,660147.36,18787.0909,30.0067
119,28,20,102.4MiB,2GiB,16KiB,100,synchronous,Sequential,Write,0.0,9041.09,1826.25,0.0,141.26,30.05,326022.0,0.0,2.58,736.75,0.27,840691.11,11643.6429,30.0247
120,14,20,102.4MiB,2GiB,16KiB,100,synchronous,Random,Read,46777.74,0.0,0.0,730.86,0.0,30.0096,1403864.0,0.0,0.3,31.92,0.83,418289.99,100276.0,29.8779
121,17,20,102.4MiB,2GiB,16KiB,100,synchronous,Random,Write,0.0,8849.48,1780.96,0.0,138.26,30.0149,318759.0,0.0,1.6,36.35,9.06,509375.1,18750.5294,29.9632
122,25,20,102.4MiB,2GiB,16KiB,100,synchronous,Random,Read,40820.86,0.0,0.0,637.78,0.0,30.0138,1225279.0,0.0,0.61,32.75,1.67,748379.25,49011.16,29.9352
123,13,20,102.4MiB,2GiB,16KiB,100,synchronous,Sequential,Write,0.0,17643.52,3536.74,0.0,275.66,30.0202,635614.0,0.0,0.61,275.23,0.23,389537.68,48893.3846,29.9644
124,20,20,102.4MiB,2GiB,16KiB,100,synchronous,Random,Write,0.0,6719.22,1357.15,0.0,104.98,30.0159,242042.0,0.0,2.48,53.87,14.46,599625.66,12102.1,29.9813
125,9,20,102.4MiB,2GiB,16KiB,100,synchronous,Random,Read,46423.6,0.0,0.0,725.32,0.0,30.0079,1393237.0,0.0,0.19,24.88,0.45,268388.41,154804.1111,29.8209
126,11,20,102.4MiB,2GiB,16KiB,100,synchronous,Sequential,Write,0.0,19421.13,3891.48,0.0,303.44,30.0218,699731.0,0.0,0.47,240.3,0.21,329549.97,63611.9091,29.9591
127,25,20,102.4MiB,2GiB,16KiB,100,synchronous,Sequential,Write,0.0,11710.29,2358.47,0.0,182.96,30.1068,423114.0,0.0,1.78,572.83,0.25,752169.63,16924.56,30.0868
