,Number of Threads,Number of Files,File Size,Total File Size,Block Size,Fsync Periodicty,I/O Mode (sync/async),Access Mode (seq/rnd),Read/Write,File Operations (reads/s),File Operations (writes/s),File Operations (fsyncs/s),Read Throughput (MiB/s),Write Throughput (MiB/s),Total Time (s),Total Number of Events,Min Latency (ms),Avg Latency (ms),Max Latency (ms),95th Percentile Latency (ms),Total Execution Time across Threads (s),Avg Number of Events per Thread,Avg Execution Time per Thread (s)
45,11,20,256MiB,5GiB,16KiB,100,synchronous,Sequential,Write,0.0,3078.41,622.67,0.0,48.1,30.0444,110990.0,0.01,2.97,271.14,23.52,330046.11,10090.0,30.0042
46,17,20,256MiB,5GiB,16KiB,100,synchronous,Sequential,Read,472095.62,0.0,0.0,7376.49,0.0,30.0006,14163988.0,0.0,0.02,2.7,0.06,344827.22,833175.7647,20.284
47,13,20,256MiB,5GiB,16KiB,100,synchronous,Sequential,Read,481904.52,0.0,0.0,7529.76,0.0,30.0005,14458183.0,0.0,0.02,3.08,0.04,275268.65,1112167.9231,21.1745
48,22,20,256MiB,5GiB,16KiB,100,synchronous,Random,Write,0.0,212.8,56.64,0.0,3.32,30.5419,7790.0,0.01,85.26,1734.8,559.5,664163.29,354.0909,30.1892
49,16,20,256MiB,5GiB,16KiB,100,synchronous,Random,Read,377440.52,0.0,0.0,5897.51,0.0,30.0007,11324793.0,0.0,0.03,3.0,0.06,289581.66,707799.5625,18.0989
50,10,20,256MiB,5GiB,16KiB,100,synchronous,Random,Read,362359.08,0.0,0.0,5661.86,0.0,30.0006,10871626.0,0.0,0.02,4.16,0.04,191345.11,1087162.6,19.1345
51,6,20,256MiB,5GiB,16KiB,100,synchronous,Sequential,Write,0.0,2891.92,582.22,0.0,45.19,30.0112,104155.0,0.01,1.73,250.49,3.25,179950.64,17359.1667,29.9918
52,3,20,256MiB,5GiB,16KiB,100,synchronous,Sequential,Read,469255.08,0.0,0.0,7332.11,0.0,30.0004,14079545.0,0.0,0.01,0.5,0.01,82399.01,4693181.6667,27.4663
53,13,20,256MiB,5GiB,16KiB,100,synchronous,Random,Read,358243.74,0.0,0.0,5597.56,0.0,30.0005,10748169.0,0.0,0.02,1.93,0.05,240264.03,826782.2308,18.4818
54,4,20,256MiB,5GiB,16KiB,100,synchronous,Random,Write,0.0,233.97,49.13,0.0,3.66,30.3421,8511.0,0.01,14.13,255.67,94.1,120262.8,2127.75,30.0657
55,4,20,256MiB,5GiB,16KiB,100,synchronous,Random,Read,492681.44,0.0,0.0,7698.15,0.0,30.0003,14782221.0,0.0,0.01,0.64,0.01,102426.45,3695555.25,25.6066
56,20,20,256MiB,5GiB,16KiB,100,synchronous,Sequential,Write,0.0,3703.34,753.78,0.0,57.86,30.0507,133554.0,0.01,4.49,400.17,25.28,599987.64,6677.7,29.9994
57,7,20,256MiB,5GiB,16KiB,100,synchronous,Random,Read,361413.37,0.0,0.0,5647.08,0.0,30.0006,10843956.0,0.0,0.01,2.89,0.03,140266.48,1549136.5714,20.0381
58,2,20,256MiB,5GiB,16KiB,100,synchronous,Sequential,Write,0.0,2677.35,536.54,0.0,41.83,30.0264,96472.0,0.02,0.62,68.08,0.12,59966.4,48236.0,29.9832
59,28,20,256MiB,5GiB,16KiB,100,synchronous,Random,Read,356688.42,0.0,0.0,5573.26,0.0,30.0007,10701579.0,0.0,0.05,3.11,0.11,483099.92,382199.25,17.2536
60,25,20,256MiB,5GiB,16KiB,100,synchronous,Sequential,Write,0.0,3758.14,767.65,0.0,58.72,30.0908,135702.0,0.01,5.53,517.93,29.19,750843.28,5428.08,30.0337
61,29,20,256MiB,5GiB,16KiB,100,synchronous,Random,Read,375998.24,0.0,0.0,5874.97,0.0,30.001,11281548.0,0.0,0.04,3.38,0.12,499904.01,389018.8966,17.2381
62,2,20,256MiB,5GiB,16KiB,100,synchronous,Random,Read,343351.61,0.0,0.0,5364.87,0.0,30.0003,10301931.0,0.0,0.01,0.36,0.01,54136.33,5150965.5,27.0682
63,30,20,256MiB,5GiB,16KiB,100,synchronous,Sequential,Write,0.0,3909.61,801.84,0.0,61.09,30.0763,141119.0,0.01,6.38,972.8,30.26,900238.68,4703.9667,30.008
