,Number of Threads,Number of Files,File Size,Total File Size,Block Size,Fsync Periodicty,I/O Mode (sync/async),Access Mode (seq/rnd),Read/Write,File Operations (reads/s),File Operations (writes/s),File Operations (fsyncs/s),Read Throughput (MiB/s),Write Throughput (MiB/s),Total Time (s),Total Number of Events,Min Latency (ms),Avg Latency (ms),Max Latency (ms),95th Percentile Latency (ms),Total Execution Time across Threads (s),Avg Number of Events per Thread,Avg Execution Time per Thread (s)
22,31,20,256MiB,5GiB,16KiB,100,asynchronous,Random,Write,0.0,226.64,65.5,0.0,3.54,30.4417,8274.0,0.01,113.03,1703.3,746.32,935232.75,266.9032,30.1688
23,23,20,256MiB,5GiB,16KiB,100,asynchronous,Sequential,Write,0.0,3647.48,744.53,0.0,56.99,30.073,131632.0,0.01,5.24,638.68,27.66,690384.65,5723.1304,30.0167
24,29,20,256MiB,5GiB,16KiB,100,asynchronous,Sequential,Read,473352.99,0.0,0.0,7396.14,0.0,30.0006,14202541.0,0.0,0.02,6.12,0.02,288992.99,489742.7931,9.9653
25,32,20,256MiB,5GiB,16KiB,100,asynchronous,Random,Write,0.0,218.56,64.03,0.0,3.41,30.6521,8023.0,0.01,120.6,2068.32,816.63,967602.37,250.7188,30.2376
26,21,20,256MiB,5GiB,16KiB,100,asynchronous,Random,Write,0.0,212.2,55.86,0.0,3.32,30.628,7791.0,0.01,81.26,1181.72,549.52,633095.73,371.0,30.1474
27,22,20,256MiB,5GiB,16KiB,100,asynchronous,Sequential,Read,513303.67,0.0,0.0,8020.37,0.0,30.0006,15400340.0,0.0,0.02,3.96,0.03,297958.62,700015.4545,13.5436
28,18,20,256MiB,5GiB,16KiB,100,asynchronous,Sequential,Read,497119.81,0.0,0.0,7767.5,0.0,30.0008,14914861.0,0.0,0.02,3.52,0.03,246691.2,828603.3889,13.7051
29,25,20,256MiB,5GiB,16KiB,100,asynchronous,Random,Read,463813.17,0.0,0.0,7247.08,0.0,30.0007,13915539.0,0.0,0.02,6.19,0.01,251802.92,556621.56,10.0721
30,13,20,256MiB,5GiB,16KiB,100,asynchronous,Sequential,Write,0.0,3257.8,659.91,0.0,50.9,30.0478,117471.0,0.01,3.32,309.22,25.28,390066.42,9036.2308,30.0051
31,27,20,256MiB,5GiB,16KiB,100,asynchronous,Random,Read,480923.55,0.0,0.0,7514.43,0.0,30.0007,14428960.0,0.0,0.02,5.32,0.01,264785.01,534405.9259,9.8069
32,29,20,256MiB,5GiB,16KiB,100,asynchronous,Random,Write,0.0,210.04,60.4,0.0,3.28,30.9427,7789.0,0.01,113.69,1938.92,802.05,885501.79,268.5862,30.5345
33,15,20,256MiB,5GiB,16KiB,100,asynchronous,Random,Read,492063.89,0.0,0.0,7688.5,0.0,30.0005,14763035.0,0.0,0.01,2.8,0.01,181882.71,984202.3333,12.1255
